@RELATION POSIT

@attribute classification {Anti-extremist, Pro-extremist, neutral}
@attribute number_of_exclam numeric
@attribute number_of_dollar numeric
@attribute number_of_ast numeric
@attribute number_of_dot numeric
@attribute number_of_0 numeric
@attribute number_of_1 numeric
@attribute number_of_2 numeric
@attribute number_of_3 numeric
@attribute number_of_4 numeric
@attribute number_of_5 numeric
@attribute number_of_6 numeric
@attribute number_of_7 numeric
@attribute number_of_8 numeric
@attribute number_of_9 numeric
@attribute number_of_quest numeric
@attribute number_of_a numeric
@attribute number_of_b numeric
@attribute number_of_c numeric
@attribute number_of_d numeric
@attribute number_of_e numeric
@attribute number_of_f numeric
@attribute number_of_g numeric
@attribute number_of_h numeric
@attribute number_of_i numeric
@attribute number_of_j numeric
@attribute number_of_k numeric
@attribute number_of_l numeric
@attribute number_of_m numeric
@attribute number_of_n numeric
@attribute number_of_o numeric
@attribute number_of_p numeric
@attribute number_of_q numeric
@attribute number_of_r numeric
@attribute number_of_s numeric
@attribute number_of_t numeric
@attribute number_of_u numeric
@attribute number_of_v numeric
@attribute number_of_w numeric
@attribute number_of_x numeric
@attribute number_of_y numeric
@attribute number_of_z numeric
@attribute total_unique_chars numeric
@attribute total_chars numeric
@attribute specials numeric
@attribute total_words numeric
@attribute total_unique_words numeric
@attribute ttr numeric
@attribute number_of_sentences numeric
@attribute asl numeric
@attribute number_of_chars numeric
@attribute awl numeric
@attribute noun_types numeric
@attribute verb_types numeric
@attribute adjective_types numeric
@attribute preposition_types numeric
@attribute possessive_types numeric
@attribute personal_types numeric
@attribute determiner_types numeric
@attribute adverb_types numeric
@attribute particle_types numeric
@attribute interjection_types numeric
@attribute verbs numeric
@attribute nouns numeric
@attribute preposition numeric
@attribute possessive numeric
@attribute personal numeric
@attribute particles numeric
@attribute interjections numeric
@attribute determiners numeric
@attribute adverbs numeric
@attribute adjectives numeric

@data
Anti-extremist,0,24,1,133,35,25,3,3,13,9,3,8,7,5,11,1196,249,502,600,1627,307,291,608,1206,55,150,737,374,1014,1279,326,121,980,976,1290,491,184,223,28,205,37,22278,40,4,2813,1034,0.367579,96,29.3021,22257,7.91219,253,102,27,22,8,8,7,29,1,0,262,828,178,36,36,2,0,166,84,88
Anti-extremist,0,34,1,31,149,30,3,14,4,8,5,8,9,5,10,1333,245,571,663,1791,340,313,658,1343,59,149,783,415,1174,1409,364,141,1117,1067,1415,557,190,244,22,234,41,24128,40,4,3098,1117,0.360555,109,28.422,24107,7.78147,257,89,35,23,10,10,8,19,2,0,236,860,174,36,36,4,0,130,48,106
Anti-extremist,0,28,1,41,163,46,3,14,8,5,5,11,11,16,12,1464,304,636,707,2021,385,363,800,1517,54,171,895,446,1315,1579,389,124,1207,1187,1614,539,206,288,26,266,39,26443,40,4,3493,1207,0.345548,111,31.4685,26308,7.53163,222,111,45,27,14,14,8,27,2,0,344,656,204,84,84,10,0,168,72,120
Anti-extremist,0,0,3,1,14,6,3,3,2,4,2,0,3,1,2,210,50,73,86,258,41,52,80,172,8,37,89,41,196,185,63,0,148,192,179,62,25,42,5,42,1,4157,37,3,439,294,0.669704,9,48.7778,4145,9.44191,189,43,15,17,10,10,9,7,3,0,98,532,92,24,24,8,0,24,16,36
Anti-extremist,0,28,1,31,153,28,13,4,11,3,8,7,8,4,11,1344,271,522,684,1865,372,305,738,1315,59,182,798,431,1187,1552,391,143,1158,1096,1453,551,189,303,18,250,38,24937,40,4,3276,1118,0.34127,108,30.3333,24916,7.60562,200,114,33,21,12,12,13,17,2,0,332,660,174,120,120,4,0,102,60,96
Anti-extremist,0,37,36,176,2,35,3,3,26,11,4,8,6,5,22,1587,294,678,754,2037,384,402,786,1517,58,177,939,468,1376,1615,450,121,1242,1232,1608,562,214,291,23,254,44,27276,40,4,3608,1278,0.354213,134,26.9254,27255,7.55405,268,90,47,25,4,4,7,20,1,0,296,792,202,42,42,2,0,130,50,130
Anti-extremist,0,0,7,1,15,6,2,3,3,5,2,0,2,2,2,220,48,86,87,261,39,43,86,177,13,30,100,46,201,190,59,0,148,160,176,54,28,39,5,51,4,4255,37,3,450,282,0.626667,8,56.25,4231,9.40222,179,38,17,17,10,10,7,6,2,0,90,536,94,28,28,4,0,28,14,46
Anti-extremist,0,0,3,1,11,14,6,2,4,4,2,2,4,4,2,194,39,69,77,217,37,41,77,166,13,26,91,56,190,182,52,1,124,140,156,55,24,36,3,49,3,3966,39,3,426,275,0.64554,10,42.6,3952,9.277,176,35,20,15,10,10,7,8,2,0,74,498,94,32,32,4,0,32,18,46
Anti-extremist,0,26,1,33,177,28,15,4,9,5,4,7,6,8,17,1577,290,607,759,2057,428,392,855,1508,69,163,868,520,1354,1627,398,149,1264,1215,1656,686,230,285,26,263,44,27597,40,4,3705,1294,0.349258,138,26.8478,27576,7.44291,258,82,42,27,15,15,12,26,3,0,212,784,224,64,64,10,0,206,72,112
Anti-extremist,0,30,1,30,148,26,14,4,8,5,4,7,6,4,11,1374,245,556,687,1866,412,321,674,1402,55,145,886,423,1197,1439,391,136,1100,1101,1440,569,205,255,20,241,43,24834,40,4,3233,1179,0.364677,112,28.8661,24813,7.67491,246,88,63,15,10,10,9,26,1,0,244,724,182,56,56,2,0,134,56,170
Anti-extremist,0,0,3,1,11,14,6,2,4,4,2,2,4,4,2,194,39,69,77,217,37,41,77,166,13,26,91,56,190,182,52,1,124,140,156,55,24,36,3,49,3,3968,39,3,426,275,0.64554,10,42.6,3954,9.28169,176,35,20,15,10,10,7,8,2,0,74,498,94,32,32,4,0,32,18,46
Anti-extremist,0,26,1,33,150,29,3,3,12,9,4,7,6,5,10,1383,252,552,744,1808,353,313,750,1400,57,145,804,381,1155,1360,352,134,1077,1050,1443,528,184,279,23,264,40,24477,40,4,3173,1093,0.344469,103,30.8058,24456,7.70753,216,78,37,21,10,10,7,19,4,0,256,764,224,64,64,8,0,168,66,98
Anti-extremist,0,39,1,52,183,45,39,11,9,12,7,7,11,10,37,1617,306,651,840,2318,415,432,912,1654,63,176,968,490,1454,1646,455,121,1309,1350,1736,648,224,334,33,314,46,29182,40,4,4016,1377,0.342878,145,27.6966,29137,7.25523,239,95,48,22,14,14,9,31,3,1,280,654,186,92,92,6,2,124,92,116
Anti-extremist,0,34,1,12,34,188,31,3,16,10,4,7,7,6,14,1786,304,725,857,2455,479,433,934,1803,83,166,984,572,1484,1842,438,157,1438,1477,1979,722,234,347,44,326,44,30926,40,4,4215,1376,0.326453,141,29.8936,30905,7.33215,241,85,47,24,10,10,11,21,1,0,246,718,230,44,44,4,0,176,76,138
Anti-extremist,0,28,1,35,167,19,32,13,7,3,6,10,9,11,10,1338,255,498,704,1739,334,331,727,1329,58,175,789,409,1129,1464,377,185,1097,1072,1405,603,181,266,17,270,40,24501,40,4,3223,1099,0.340987,129,24.9845,24480,7.59541,148,95,25,20,11,11,12,26,2,1,346,540,144,164,164,4,2,88,74,72
Anti-extremist,0,37,33,165,28,3,15,4,9,5,6,8,7,6,11,1483,297,593,688,1965,368,338,792,1421,56,172,836,471,1229,1498,383,132,1144,1151,1483,554,211,272,21,264,41,25568,40,4,3440,1218,0.35407,131,26.2595,25547,7.42645,236,84,48,23,14,14,10,34,2,0,260,648,236,102,102,6,0,174,88,156
Anti-extremist,0,24,1,46,156,20,40,15,4,7,3,14,15,19,12,1325,255,575,674,1805,349,331,729,1321,64,159,823,439,1161,1484,356,146,1127,1123,1471,592,183,298,22,246,37,24988,40,4,3280,1141,0.347866,131,25.0382,24967,7.61189,209,87,36,19,13,13,11,24,3,0,278,612,158,118,118,12,0,106,78,86
Anti-extremist,0,38,1,44,213,35,3,3,19,13,9,15,9,5,16,1816,344,677,875,2490,451,444,979,1647,73,172,1031,567,1577,1962,501,129,1423,1426,2018,663,259,351,23,313,43,31124,40,4,4351,1424,0.327281,167,26.0539,31097,7.14709,218,86,53,24,12,12,9,42,2,0,260,680,228,62,62,4,0,212,106,140
Anti-extremist,0,25,1,34,157,32,3,3,16,9,5,8,9,7,13,1382,256,578,753,1834,362,327,721,1368,65,153,827,452,1166,1452,369,166,1106,1112,1411,602,175,253,21,248,43,24865,40,4,3251,1140,0.350661,98,33.1735,24844,7.64196,221,81,39,24,13,13,11,18,2,0,234,700,212,60,60,8,0,132,48,114
Anti-extremist,0,25,1,33,162,28,3,15,9,5,8,7,7,6,12,1405,258,524,702,1882,392,351,764,1335,59,173,835,421,1183,1471,359,150,1134,1114,1507,574,181,291,16,254,40,25186,40,4,3355,1192,0.355291,119,28.1933,25165,7.50075,222,113,34,21,13,13,11,22,2,0,282,644,192,130,130,4,0,138,70,98
Anti-extremist,0,35,1,10,42,205,34,3,20,12,4,11,11,12,13,1695,347,745,828,2427,461,432,964,1770,61,168,1047,548,1478,1725,464,175,1407,1387,1844,698,243,331,30,319,41,30238,40,4,4093,1414,0.345468,161,25.4224,30215,7.38212,255,78,50,21,10,10,9,24,0,0,244,710,226,52,52,0,0,188,60,148
Anti-extremist,0,25,1,30,166,29,3,14,9,3,6,7,6,4,11,1356,246,526,727,1839,370,321,724,1382,63,157,833,423,1181,1444,362,162,1097,1134,1474,585,195,272,17,239,40,24891,40,4,3265,1167,0.357427,122,26.7623,24870,7.61715,212,100,36,22,19,19,8,25,1,0,276,640,172,130,130,2,0,124,74,98
Anti-extremist,0,37,145,46,2,38,3,18,4,19,10,9,8,6,13,1318,262,547,648,1761,339,332,661,1323,55,154,813,419,1167,1443,370,134,1134,1050,1389,516,184,263,18,218,37,24579,40,4,3109,1163,0.374075,107,29.0561,24554,7.89772,299,87,34,26,9,9,8,12,1,0,224,906,168,46,46,2,0,114,28,108
Anti-extremist,0,43,1,44,177,41,16,4,17,10,6,8,7,4,14,1427,265,566,694,1900,367,326,743,1374,60,151,894,425,1155,1467,430,145,1183,1095,1541,586,200,281,23,281,40,25364,40,4,3320,1178,0.354819,118,28.1356,25337,7.63163,200,83,55,24,7,7,10,30,0,0,246,682,192,36,36,0,0,148,98,154
Anti-extremist,0,44,38,169,30,14,4,11,5,8,6,11,11,5,12,1464,268,581,741,1998,366,339,769,1405,66,154,865,468,1290,1614,420,133,1195,1140,1613,576,209,251,19,249,45,26135,40,4,3506,1223,0.348831,125,28.048,26108,7.44666,250,75,43,23,7,7,15,29,2,0,266,736,234,28,28,4,0,188,82,114
Anti-extremist,0,25,36,154,2,33,12,4,6,5,6,9,8,6,11,1432,251,574,716,1870,361,360,751,1392,53,162,803,418,1265,1489,434,115,1153,1120,1511,543,180,262,31,250,44,25202,40,4,3326,1196,0.359591,110,30.2364,25093,7.5445,259,107,52,21,10,10,10,25,3,0,300,738,200,58,58,12,0,172,58,130
Anti-extremist,0,56,67,216,42,25,4,4,16,11,6,30,25,21,28,1843,348,738,988,2576,490,474,968,1681,67,190,1022,566,1679,2094,570,185,1582,1529,2053,740,245,327,19,322,45,32613,40,4,4395,1460,0.332196,161,27.2981,32592,7.4157,218,98,36,24,6,6,9,21,2,0,240,764,236,30,30,8,0,164,54,98
Anti-extremist,0,25,1,33,199,26,16,4,7,3,7,6,4,9,12,1840,326,794,941,2628,542,436,1079,1796,81,189,1107,573,1604,2005,528,170,1543,1596,2049,779,256,385,21,327,45,32720,40,4,4558,1592,0.349276,163,27.9632,32699,7.17398,234,102,63,24,14,14,11,33,3,0,242,606,202,86,86,8,0,208,90,180
Anti-extremist,0,29,32,170,19,32,12,4,8,5,5,9,7,5,12,1344,250,557,662,1802,361,323,716,1309,63,155,861,430,1130,1453,359,163,1097,1090,1415,556,189,280,18,257,38,24618,40,4,3208,1135,0.353803,109,29.4312,24581,7.66241,229,80,32,24,17,17,11,28,1,1,198,766,172,102,102,2,2,128,70,76
Anti-extremist,0,29,1,48,170,36,18,4,12,4,12,14,8,13,12,1639,318,686,899,2259,391,392,859,1616,54,156,1035,519,1468,1775,493,186,1358,1315,1775,754,238,303,32,298,46,29511,40,4,3832,1299,0.338987,121,31.6694,29478,7.69259,213,75,43,22,11,11,7,20,1,0,242,712,190,50,50,2,0,134,58,130
Anti-extremist,0,24,1,31,16,163,27,3,14,8,4,8,6,5,12,1419,290,520,714,1826,349,329,728,1372,54,166,820,446,1161,1392,354,142,1123,1059,1451,555,179,297,15,302,42,24772,40,4,3308,1135,0.343108,133,24.8722,24751,7.48216,194,101,30,17,14,14,11,27,2,1,312,618,170,150,150,4,2,110,84,96
Anti-extremist,0,24,1,40,144,36,13,4,8,3,12,7,12,14,10,1357,270,568,659,1792,346,321,703,1377,54,149,804,403,1184,1427,364,142,1116,1079,1453,536,191,274,16,235,37,24389,40,4,3150,1132,0.359365,110,28.6364,24368,7.73587,228,80,32,26,12,12,11,33,3,0,236,774,182,56,56,6,0,146,94,108
Anti-extremist,0,26,1,31,145,27,3,3,12,8,3,8,8,4,11,1321,231,538,659,1728,334,346,682,1340,52,141,788,429,1173,1412,340,138,1075,1030,1433,575,178,235,34,236,39,24011,40,4,3091,1097,0.354901,104,29.7212,23990,7.76124,258,79,38,27,6,6,10,15,1,0,206,848,226,18,18,2,0,192,38,122
Anti-extremist,0,0,3,11,2,21,8,2,4,4,2,2,6,6,2,197,43,80,82,216,46,48,82,181,16,28,96,54,195,193,52,1,119,159,159,57,26,32,1,53,2,4100,39,3,434,288,0.663594,10,43.4,4088,9.41935,188,34,23,15,10,10,8,9,2,0,74,508,98,32,32,4,0,30,20,50
Anti-extremist,0,0,3,1,17,9,6,2,4,5,2,2,4,4,2,189,43,76,84,227,37,43,83,176,10,29,99,53,178,179,59,0,135,143,148,51,20,38,4,51,3,4010,38,3,423,281,0.664303,11,38.4545,3998,9.45154,182,35,21,14,10,10,7,7,2,0,80,498,94,30,30,4,0,26,16,46
Anti-extremist,0,0,0,10,1,10,18,10,9,3,7,2,6,4,8,149,29,81,50,218,56,43,68,186,1,20,83,41,133,182,56,0,121,131,199,53,27,36,4,46,0,2688,36,2,413,190,0.460048,12,34.4167,2686,6.50363,128,25,9,9,6,6,7,7,1,0,78,426,82,40,40,4,0,74,20,26
Anti-extremist,0,0,12,1,13,10,3,7,42,2,5,4,13,6,8,811,131,270,269,701,146,145,254,627,12,85,321,198,590,583,162,15,479,440,528,245,92,84,12,128,17,28590,39,3,1347,749,0.55605,32,42.0938,28580,21.2175,454,60,29,20,12,12,7,14,1,0,146,1146,150,68,68,4,0,126,30,76
Anti-extremist,0,0,3,1,1,4,1,0,40,1,0,0,1,0,2,242,40,139,97,319,74,38,77,273,7,11,139,80,236,273,68,4,193,227,260,94,34,57,0,59,1,3910,34,3,540,274,0.507407,25,21.6,3900,7.22222,169,56,28,16,9,9,10,10,0,0,146,530,86,56,56,0,0,76,30,70
Anti-extremist,0,0,3,1,17,17,14,2,4,4,2,5,9,12,2,192,49,84,81,228,34,45,87,180,13,33,92,44,171,181,51,1,127,173,169,50,25,41,3,55,3,4074,39,3,433,277,0.639723,13,33.3077,4064,9.38568,186,37,19,17,9,9,7,7,2,0,82,526,94,24,24,4,0,30,16,46
Anti-extremist,0,0,13,23,15,17,3,9,9,6,3,5,8,92,3,696,140,322,309,973,174,145,444,690,23,78,420,195,557,691,175,43,559,618,806,242,111,136,11,132,8,13287,39,3,1779,717,0.403035,101,17.6139,13287,7.4688,249,83,34,24,12,12,12,19,3,0,240,824,190,84,84,10,0,156,54,80
Anti-extremist,0,0,11,23,20,14,3,4,7,4,4,3,77,4,4,667,130,310,320,1023,148,144,424,667,27,73,420,196,554,730,180,45,567,596,793,259,106,145,8,121,4,13097,39,3,1722,687,0.398955,90,19.1333,13089,7.60105,253,75,35,27,11,11,7,17,2,0,194,904,204,58,58,10,0,158,48,88
Anti-extremist,0,0,12,102,24,15,13,3,2,6,7,4,3,4,4,870,193,343,386,1210,212,167,509,835,28,85,490,262,721,888,226,43,770,733,953,301,129,162,15,170,5,15608,39,3,2094,844,0.403056,105,19.9429,15608,7.45368,229,85,63,21,10,10,10,33,2,0,220,716,190,60,60,4,0,142,92,162
Anti-extremist,0,0,12,27,19,19,3,4,7,5,6,6,10,87,3,583,111,256,270,911,139,122,374,582,30,80,388,181,489,642,180,31,507,540,701,221,96,128,7,94,6,12129,39,3,1522,615,0.404074,90,16.9111,12129,7.96912,241,80,42,24,11,11,10,26,3,0,212,810,180,50,50,10,0,176,56,126
Anti-extremist,0,0,9,20,14,13,2,4,5,3,4,66,4,6,3,497,94,219,235,725,102,104,308,493,21,57,305,147,394,518,143,25,405,454,576,191,84,92,7,86,4,9799,39,3,1247,547,0.438653,74,16.8514,9799,7.85806,250,79,45,22,13,13,8,22,2,0,242,812,172,60,60,6,0,170,46,102
Anti-extremist,0,0,11,121,33,24,28,3,3,6,6,9,10,16,3,901,173,398,409,1409,188,177,539,923,25,98,549,243,740,900,264,58,716,803,1062,312,159,196,16,193,11,16835,39,3,2335,870,0.372591,112,20.8482,16833,7.20899,210,95,49,20,12,12,8,22,2,0,274,640,160,112,112,6,0,150,76,130
Anti-extremist,0,0,4,1,1,5,3,0,3,2,0,7,1,0,2,81,18,33,28,84,14,12,24,64,7,11,43,18,77,68,22,0,45,58,63,14,11,14,0,16,0,1183,33,3,160,120,0.75,6,26.6667,1183,7.39375,95,6,4,5,2,2,4,2,0,0,12,246,10,4,4,0,0,10,4,10
Anti-extremist,0,12,1,24,15,12,3,6,6,5,3,5,82,4,9,608,116,275,283,898,137,127,391,608,22,73,369,210,489,670,177,44,511,566,697,234,103,111,8,111,4,12220,40,4,1562,642,0.411012,81,19.284,12220,7.8233,247,80,37,19,15,15,11,18,2,0,192,840,172,80,80,6,0,148,44,104
Anti-extremist,0,0,12,22,14,13,10,8,3,3,7,5,4,90,10,696,116,286,304,960,147,185,408,644,21,72,384,233,537,721,187,27,519,624,776,241,104,148,14,150,10,13289,39,3,1733,675,0.389498,88,19.6932,13273,7.65897,245,84,34,22,10,10,11,23,4,0,242,770,188,80,80,14,0,142,64,102
Anti-extremist,0,0,12,23,128,15,13,2,7,5,4,4,4,5,9,934,175,379,491,1377,213,206,577,948,34,94,553,261,721,937,255,64,699,823,1031,368,157,199,15,198,5,17108,39,3,2354,884,0.375531,130,18.1077,17108,7.26763,224,102,50,28,18,18,9,23,1,0,290,656,186,138,138,2,0,128,70,122
Anti-extremist,0,0,10,19,14,12,3,4,7,3,4,4,77,4,3,639,118,264,286,874,135,139,373,640,22,68,367,195,504,631,171,27,489,558,692,218,101,112,12,112,4,12214,39,3,1515,638,0.421122,83,18.253,12206,8.05677,260,82,48,22,11,11,8,23,2,0,210,852,172,54,54,6,0,176,48,130
Anti-extremist,0,0,16,38,14,26,3,13,7,5,5,13,16,89,16,693,169,301,361,1032,152,179,441,674,29,84,424,231,606,806,181,50,607,662,776,276,122,152,13,143,5,14361,39,3,1847,766,0.414727,86,21.4767,14361,7.77531,237,79,40,17,12,12,7,27,1,0,202,784,128,72,72,2,0,112,58,112
Anti-extremist,0,0,12,27,15,18,11,4,7,4,5,7,8,90,10,776,143,349,363,1022,168,163,436,698,26,71,438,219,652,780,209,32,588,663,847,270,109,149,10,127,8,14555,39,3,1898,755,0.397787,95,19.9789,14555,7.6686,241,84,35,25,11,11,8,28,1,0,262,764,196,46,46,4,0,150,80,92
Anti-extremist,0,0,14,122,30,15,22,47,4,8,6,6,6,10,50,966,200,362,490,1291,182,221,613,863,27,88,481,279,771,890,225,26,737,766,1020,301,146,192,7,202,7,17006,39,3,2319,843,0.363519,108,21.4722,17006,7.33333,210,91,30,22,10,10,10,15,1,1,230,674,160,94,94,4,2,110,38,94
Anti-extremist,0,0,28,22,20,16,7,15,6,7,7,3,7,91,3,728,126,296,379,1028,155,164,456,682,25,70,438,214,604,738,211,56,573,627,779,269,118,150,7,131,5,13755,39,3,1817,709,0.390204,95,19.1263,13755,7.57017,228,80,30,20,12,12,10,18,1,1,240,772,162,92,92,2,2,124,48,78
Anti-extremist,0,0,12,122,33,15,25,2,7,2,6,12,9,16,3,772,137,316,447,1139,164,183,494,832,24,82,442,255,651,799,201,66,597,738,904,310,120,159,9,177,4,15143,39,3,2033,778,0.382686,125,16.264,15143,7.4486,207,105,33,18,16,16,8,32,3,0,326,626,140,128,128,8,0,106,88,76
Anti-extremist,0,0,12,120,36,14,23,3,16,7,6,11,10,14,24,898,161,352,471,1229,195,174,493,798,29,88,570,311,700,894,238,57,712,718,950,344,132,161,13,171,8,16484,39,3,2179,874,0.401101,108,20.1759,16484,7.56494,262,69,43,19,10,10,9,24,1,0,198,766,160,56,56,2,0,166,60,104
Anti-extremist,0,0,13,29,15,25,6,4,6,5,8,6,80,10,5,693,115,307,328,962,133,157,379,644,23,68,379,206,560,685,199,26,533,583,721,224,108,147,9,111,5,13076,39,3,1660,686,0.413253,88,18.8636,13072,7.8747,267,78,45,25,9,9,7,21,2,0,198,856,188,48,48,6,0,148,46,114
Anti-extremist,0,0,9,18,14,11,3,2,4,4,3,66,3,4,3,498,96,220,234,721,103,107,311,497,21,57,306,147,396,519,142,25,403,453,576,189,85,92,7,86,4,9817,39,3,1247,546,0.437851,74,16.8514,9817,7.87249,245,79,45,21,14,14,8,25,2,0,210,824,166,66,66,6,0,180,54,126
Anti-extremist,0,0,9,18,14,11,3,2,4,4,3,66,3,4,3,498,95,216,233,722,103,105,308,496,22,56,306,147,397,520,144,25,408,453,574,189,85,94,7,87,4,9745,39,3,1246,546,0.438202,74,16.8378,9745,7.82103,245,78,45,21,14,14,8,25,2,0,210,824,164,66,66,6,0,182,52,126
Anti-extremist,0,0,5,1,1,7,2,30,4,2,4,1,1,0,2,206,41,104,84,308,75,53,77,263,7,11,161,56,233,222,60,4,207,220,235,80,20,46,1,28,6,3598,38,3,524,264,0.503817,21,24.9524,3598,6.86641,157,53,30,18,8,8,8,9,0,0,138,502,116,20,20,0,0,66,24,86
Anti-extremist,0,0,36,29,26,3,3,10,32,5,3,3,6,7,4,177,41,77,64,167,64,30,50,138,8,12,77,42,143,152,45,1,118,113,133,25,20,30,1,51,0,4208,38,3,411,197,0.479319,9,45.6667,4206,10.2336,136,12,6,12,2,2,5,5,0,0,26,534,76,4,4,0,0,16,14,18
Anti-extremist,0,0,28,1,1,39,22,4,15,1,1,5,5,9,3,140,47,52,51,160,37,27,52,133,10,22,72,49,158,165,45,2,95,110,132,35,26,23,2,36,0,3248,38,3,388,220,0.56701,8,48.5,3246,8.36598,151,19,9,11,9,9,5,5,2,0,38,478,60,24,24,4,0,20,10,26
Anti-extremist,0,0,21,1,10,40,28,3,7,15,4,8,8,9,3,127,33,51,73,174,42,24,47,134,13,15,74,45,143,110,33,1,74,116,127,37,23,24,1,46,1,3988,39,3,379,198,0.522427,12,31.5833,3980,10.5013,139,17,6,9,6,6,5,5,0,0,38,484,56,16,16,0,0,18,12,16
Anti-extremist,0,0,16,1,1,40,42,12,7,5,6,10,13,19,2,153,38,59,56,201,28,22,78,125,14,26,84,63,106,127,51,1,94,128,166,66,22,24,16,47,0,3688,38,3,376,202,0.537234,5,75.2,3688,9.80851,140,18,8,10,3,3,4,5,0,0,40,494,58,6,6,0,0,16,12,20
Anti-extremist,0,0,13,1,20,2,14,3,11,6,6,1,3,2,3,146,51,61,41,153,19,23,34,117,8,20,75,27,124,115,50,0,90,95,119,29,14,34,0,27,0,2916,36,3,317,169,0.533123,6,52.8333,2902,9.15457,128,9,7,6,2,2,4,3,1,1,18,440,26,4,4,2,2,14,6,20
Anti-extremist,0,0,15,1,28,2,23,4,8,5,5,5,5,10,4,136,34,45,49,152,26,28,48,125,11,13,76,39,114,113,43,1,94,98,115,33,14,27,3,35,0,2782,38,3,311,201,0.646302,6,51.8333,2782,8.94534,137,15,11,8,2,2,6,4,0,0,30,408,36,4,4,0,0,14,8,28
Anti-extremist,0,0,23,1,30,2,22,11,13,6,5,7,7,5,5,145,42,54,70,177,48,25,52,128,13,16,78,50,154,109,34,1,87,103,133,40,22,26,1,51,1,3557,39,3,391,212,0.542199,8,48.875,3549,9.07673,145,18,7,9,6,6,6,5,0,0,40,492,68,16,16,0,0,20,12,16
Anti-extremist,0,0,4,1,1,6,3,0,4,5,0,0,1,0,2,89,15,35,27,77,13,14,28,68,8,9,41,20,82,65,19,0,42,57,64,17,13,14,0,15,0,1189,32,3,161,112,0.695652,5,32.2,1189,7.38509,92,4,2,5,2,2,4,2,0,0,8,252,14,4,4,0,0,12,4,6
Anti-extremist,0,0,17,1,28,2,25,8,12,3,5,6,4,9,4,156,47,73,55,189,34,26,51,122,15,22,72,44,151,136,43,2,106,107,135,34,23,28,4,36,2,3418,39,3,384,242,0.630208,8,48,3418,8.90104,170,18,14,8,3,3,4,4,0,0,36,502,52,8,8,0,0,16,10,30
Anti-extremist,0,0,20,1,28,26,3,9,21,2,4,8,8,4,3,180,43,119,67,188,32,31,97,146,16,22,87,47,160,133,41,1,110,105,151,46,28,35,3,51,0,3048,38,3,435,216,0.496552,9,48.3333,3026,6.95632,131,30,8,10,5,5,6,3,1,0,70,536,48,16,16,2,0,36,6,18
Anti-extremist,0,0,19,1,10,34,23,3,4,18,6,8,5,6,4,170,42,91,58,187,46,24,86,156,9,15,95,51,152,166,57,2,106,132,162,43,27,28,6,47,3,4111,39,3,439,241,0.548975,8,54.875,4095,9.32802,164,22,14,10,3,3,5,5,0,0,44,558,54,6,6,0,0,24,10,34
Anti-extremist,0,0,20,1,1,30,25,3,18,5,6,4,6,7,5,142,58,59,54,190,46,29,52,134,9,16,94,47,143,145,44,2,102,112,138,51,25,24,1,39,0,3184,38,3,415,241,0.580723,6,69.1667,3184,7.67229,160,23,13,10,6,6,5,4,0,0,50,496,66,28,28,0,0,22,8,32
Anti-extremist,0,0,17,1,1,10,30,23,17,13,2,2,6,7,3,156,34,58,54,177,37,25,44,122,17,15,71,52,130,108,39,2,110,109,124,44,15,24,4,43,0,3573,38,3,360,234,0.65,8,45,3573,9.925,158,15,16,9,5,5,4,6,0,0,32,460,46,10,10,0,0,18,14,36
Anti-extremist,0,0,25,1,1,10,39,27,9,16,3,6,6,11,5,137,30,59,69,195,42,26,65,142,12,11,84,38,135,110,35,2,64,134,137,37,24,26,5,36,1,3569,39,3,384,219,0.570312,9,42.6667,3565,9.28385,146,22,4,10,5,5,4,5,0,0,52,480,60,12,12,0,0,22,10,12
Anti-extremist,0,0,16,1,34,2,26,13,10,7,8,7,8,8,3,168,38,65,75,201,43,26,62,157,10,20,98,36,141,126,50,4,81,138,140,43,15,28,6,33,1,3388,39,3,403,223,0.55335,7,57.5714,3388,8.40695,149,24,7,8,6,6,5,6,0,0,52,504,66,14,14,0,0,16,12,18
Anti-extremist,0,0,17,1,1,34,29,7,17,5,2,3,9,5,3,162,28,63,66,178,46,34,68,136,11,13,83,66,130,136,35,1,94,112,139,35,18,27,4,62,0,3842,38,3,415,214,0.515663,5,83,3836,9.24337,142,21,10,11,3,3,5,7,0,0,42,494,60,6,6,0,0,40,16,28
Anti-extremist,0,25,1,1,26,2,26,6,14,6,7,8,8,6,3,198,31,60,56,185,24,47,48,148,10,18,78,70,140,144,43,1,130,124,140,43,15,27,11,46,0,3278,39,4,396,229,0.578283,8,49.5,3266,8.24747,154,17,18,9,2,2,5,7,0,0,36,504,46,4,4,0,0,20,14,40
Anti-extremist,0,0,18,1,1,25,15,17,5,17,3,4,6,0,4,162,28,68,62,179,37,43,58,143,10,16,83,63,132,154,46,1,116,149,131,55,24,23,14,51,1,3104,38,3,405,231,0.57037,10,40.5,3088,7.62469,157,25,17,14,2,2,6,3,1,0,50,502,58,4,4,2,0,14,6,38
Anti-extremist,0,0,20,1,31,2,23,15,10,5,2,3,4,7,6,150,52,73,47,190,40,31,63,144,10,17,76,50,132,133,44,3,99,122,134,40,23,28,4,40,5,3739,39,3,380,242,0.636842,6,63.3333,3733,9.82368,160,18,16,10,3,3,5,5,0,0,36,488,56,6,6,0,0,16,10,42
